,Bacteroides,Brevundimonas,Shewanella,Clostridium_sensu_stricto,Clostridium_XI,Lactobacillus,Prevotella,Flavobacterium,Endozoicomonas,Alistipes,Psychrobacter,Bifidobacterium,Pseudomonas,Aeromonas,Escherichia_Shigella,Actinomyces,Dietzia,Akkermansia,Brevibacterium,Otros
C. virginica,9.953397050915386,7.0664705803480565,9.953397050915386,6.436059186267714,0.0,1.9906794101830771,5.874589575881611,3.0743853124820473,0.0,5.972038230549232,7.196481474816068,3.9813588203661543,9.933203526597387,8.889045333050232,2.7627954796151917,0.0,6.96737793564077,2.9813430967309222,6.96737793564077,0.0
Familia 1,5.752765289093177,3.2872944509128526,5.752765289093177,5.727146839016994,5.752765289093177,5.752765289093177,5.746668674757993,2.8763826445465885,5.752765289093177,5.752765289093177,4.793971074242396,5.752765289093177,5.03366962795653,5.752765289093177,5.752765289093177,5.752765289093177,5.752765289093177,3.501683219448521,5.752765289093177,0.0
Familia 2,5.958519640155776,5.958519640155776,5.958519640155776,5.958519640155776,5.958519640155776,4.8646310094740555,5.943778126944165,5.7723159014009084,5.958519640155776,5.958519640155776,5.958519640155776,5.958519640155776,5.958519640155776,0.0,5.958519640155776,5.958519640155776,0.0,5.958519640155776,5.958519640155776,1.4210854715202004e-14
Familia 3,9.13338442607964,0.0,0.0,9.12588985461212,9.13338442607964,8.673650310671107,9.13338442607964,0.0,0.0,9.13338442607964,0.0,9.13338442607964,9.13338442607964,0.0,9.13338442607964,9.13338442607964,0.0,9.13338442607964,0.0,0.0
Familia 4,5.830915737279005,5.83321590128049,5.83321590128049,5.83321590128049,5.83321590128049,5.626730382653983,5.683646262786269,5.83321590128049,5.83321590128049,5.83321590128049,0.4561519543655277,5.83321590128049,5.83321590128049,5.83321590128049,0.7375330449883475,5.83321590128049,5.83321590128049,5.83321590128049,5.83321590128049,0.0
Familia 5,6.919825984486422,6.919825984486422,6.919825984486422,6.916527688022786,6.919825984486422,6.919825984486422,6.919825984486422,0.0,0.0,6.919825984486422,6.919825984486422,6.919825984486422,0.0,0.0,3.2081133944230693,6.919825984486422,6.919825984486422,6.83744710371708,6.919825984486422,0.0
Familia 6,7.300531817107564,7.300531817107564,0.0,7.300531817107564,7.300531817107564,6.020533742290767,7.269640991362511,0.0,7.300531817107564,7.300531817107564,7.300531817107564,7.300531817107564,0.0,0.0,6.4039752781635055,7.300531817107564,0.0,7.300531817107564,7.300531817107564,0.0
Familia 7,6.290803628521201,6.290803628521201,0.0,6.273786125465591,6.290803628521201,6.091824438326563,6.290803628521201,5.853942265432246,0.0,6.290803628521201,6.290803628521201,6.290803628521201,6.290803628521201,0.0,6.290803628521201,6.290803628521201,6.290803628521201,6.290803628521201,6.290803628521201,0.0
Familia 8,7.246376811594203,0.0,7.246376811594203,7.246376811594203,7.246376811594203,7.246376811594203,7.246376811594203,0.0,7.246376811594203,7.246376811594203,7.246376811594203,7.246376811594203,0.0,7.246376811594203,7.246376811594203,7.246376811594203,0.0,5.797101449275362,0.0,0.0
Familia 9,9.10706352732123,0.0,0.0,9.10706352732123,9.10706352732123,8.92936472678769,9.10706352732123,0.0,0.0,9.10706352732123,0.0,9.10706352732123,0.0,9.10706352732123,9.10706352732123,9.10706352732123,0.0,9.10706352732123,0.0,0.0
Agua de zona de recolecta de CV,7.3298203411848455,7.271953338492051,7.3298203411848455,7.282069068607179,4.886546894125673,7.3298203411848455,6.98078127731925,7.315415806895286,7.3298203411848455,7.3298203411848455,6.413592798536739,0.0,7.310581967586012,7.321125417888649,1.0796674629794238,0.0,7.3298203411848455,0.1593439204606676,0.0,0.0
Agua casas cercanas al río,10.193945775419566,10.193945775419566,10.193945775419566,8.49495481284624,10.193945775419566,0.0,0.0,10.134799005620506,0.0,0.0,10.06463568101857,0.0,10.141935847997285,10.193945775419566,0.0,0.0,10.193945775419566,0.0,0.0,0.0
Agua de zonas de pastoreo cercanas al río,7.866064988365762,7.358576924602259,7.866064988365762,6.29285199069261,7.866064988365762,7.866064988365762,0.0,7.850635885957004,7.866064988365762,0.0,7.739474597318892,0.0,7.829940694503132,7.866064988365762,0.0,0.0,7.866064988365762,0.0,7.866064988365762,0.0
Agua de la boca del río,0.0,25.0,25.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agua de zonas contaminda por industria,6.329023432092598,6.261693395583129,6.329023432092598,5.977411019195753,5.8016048127536575,6.329023432092598,6.329023432092598,6.296633773425642,6.329023432092598,0.0,6.093743750599579,6.329023432092598,6.278678927516259,6.329023432092598,6.329023432092598,0.0,6.329023432092598,0.0,6.329023432092598,0.0
